AARDVARKS,AARDVARK(South African) a nocturnal
ANTIRUSTS,ANTIRUSTa preparation intended to prevent rust [n]
ANTISCIAN,a dweller on the exact opposite side of the world [n -S]
ANTISENSE,of a drugetc.
ANTISERUM,a serum containing antibodiesusually for a particular antigen [n ANTISERUMS or ANTISERA]
ANTISHAKE,denoting a technology that reduces the blurring caused by movement of the person taking a photograph [adj] / a system that uses antishake technology [n -S]
ANTISHARK,designed to keep away sharks [adj]
ANTISHOCK,designed to prevent shock [adj] / a device designed to prevent shock [n -S]
ANTISLEEP,opposed to sleep [adj]
ANTISMOKE,opposed to smoking [adj]
ANTISNOBS,ANTISNOBa person opposed to snobbery [n]
ANTISOLAR,opposite to the sunsaid of the point in the heavens 180 degrees distant from the sun [adj]
ANTISPAST,(Greek) a metrical foot comprising an iambus followed by a trochee [n -S]
ANTISTATE,opposed to the state [adj]
ANTISTATS,ANTISTATsomething that opposes static electricity [n]
ANTISTICK,designed to prevent sticking [adj]
ANTISTORY,a narrative that does not follow the normal conventions of story [n ANTISTORIES]
ANTISTYLE,a style that rejects traditional aesthetics [n -S]
ANTITHEFT,designed to prevent theft [adj]
ANTITHETS,ANTITHETan instance of antithesis [n]
ANTITOXIC,serving to neutralize poison [adj]
ANTITOXIN,an antidote to a toxin [n -S]
ANTITRADE,a contrary wind blowing at a high altitude above the trade wind [n -S]
ANTITRAGI,ANTITRAGUSa prominence of the external ear
ANTITRUST,of legislation etc.directed against the adverse effect of trusts and other monopolies on commerce [adj]
ANTITUMOR,a drug designed to prevent tumors [n -S]
ANTITYPAL,relating to an antitypean object or person prefigured by the type or symbol
ANTITYPES,ANTITYPEsomething which a type or symbol represents
ANTITYPIC,relating to an antitypesomething which a type or symbol represents
ANTIULCER,designed to prevent ulcers [adj]
ANTIUNION,opposed to trade unions [adj]
ANTIURBAN,opposed to towns [adj]
ANTIVAXER,one opposed to vaccinationalso ANTIVAXXER [n -S]
ANTIVENIN,an antitoxin countering esp. snake venomalso ANTIVENENE
ANTIVENOM,an antitoxin countering esp. snake venomalso ANTIVENENE
ANTIVIRAL,any drug designed to protect against viral infection [n -S]
ANTIVIRUS,designed to counter viruses [adj] / a computer program designed to counter viruses [n -ES]
ANTIWHITE,opposed to white people [adj]
ANTIWOMAN,opposed to women [adj]
ANTIWORLD,a hypothetical world composed of antimatter [n -S]
ANTONYMIC,of or like an antonyma word opposite in meaning to another [adj]
ANTPITTAS,ANTPITTAany of several S American birds related to the ant thrushes [n]
ANTSINESS,the state of being antsyeager
ANTWACKIE,old-fashioned [adj]
ANUCLEATE,without a nucleusalso ANUCLEATED [adj]
ANVILLING,ANVILto shape on a heavy iron block [v]
ANVILTOPS,ANVILTOPa cloud mass shaped like an anvil [n]
ANXIETIES,ANXIETYpainful or apprehensive uneasiness of mind [n]
ANXIOUSLY,ANXIOUSfull of fear [adv]
ANYBODIES,ANYBODYa single person [n]
ANYTHINGS,ANYTHINGsomething as opposed to nothing [n]
ANYWHERES,ANYWHEREany place at all [n]
APARTHEID,(South African) segregation and separate development (of races) [n -S]
APARTMENT,a separate room in a houseused or occupied by a particular person or party [n -S]
APARTNESS,the state of being apart [n -ES]
APATHATON,(Shakespeare) an epithetonan epithet
APATHETIC,lacking feeling or passionalso APATHETICAL [adj APATHETICALLY]
APATOSAUR,a kind of long-necked dinosauralso APATOSAURUS [n -S]
APERIENTS,APERIENTa laxative [n]
APERIODIC,not periodic [adj APERIODICALLY]
APERITIFS,APERITIF(French) an alcoholic drink taken as an appetiser [n]
APERITIVE,a laxative (medicine) [n -S]
APERTNESS,(archaic) openness; frankness [n -ES]
APERTURAL,related to an aperture [adj]
APERTURED,having an aperture [adj]
APERTURES,APERTUREan opening [n]
APETALIES,APETALYthe state of having no petals [n]
APETALOUS,having no petalsor flower leaves [adj]
APHANITES,APHANITEany rock of such close texture that separate minerals contained within it cannot be distinguished by the naked eye [n]
APHANITIC,of igneous rockslike aphanite
APHASIACS,APHASIACone suffering from aphasia
APHELIONS,APHELION(Greek) the farthest point of a planet's orbit from the sun [n]
APHERESES,APHERESISthe omission of a letter
APHERESIS,the omission of a lettersound or syllable at the beginning of a word
APHERETIC,relating to apheresisthe taking away of a syllable at the beginning of a word
APHETISED,APHETISEto lose the first vowel of a word
APHETISES,APHETISEto lose the first vowel of a word
APHETIZED,APHETIZEto lose the first vowel of a word
APHETIZES,APHETIZEto lose the first vowel of a word
APHICIDES,APHICIDEa substance that kills aphids [n]
APHIDIANS,APHIDIANan aphid
APHIDIOUS,like an aphid [adj]
APHOLATES,APHOLATEa chemical used to kill houseflies [n]
APHORISED,APHORISEto make a concise statement
APHORISER,one who makes aphorismsalso APHORIST
APHORISES,APHORISEto make a concise statement
APHORISMS,APHORISMa concise statement of a truth [n]
APHORISTS,APHORISTone who makes aphorisms
APHORIZED,APHORIZEto make a concise statement
APHORIZER,one who makes aphorismsalso APHORISER
APHORIZES,APHORIZEto make a concise statement
APHRODITE,a kind of butterfly [n -S]
APHYLLIES,APHYLLYabsence of leaves [n]
APHYLLOUS,without leaves [adj]
APIACEOUS,parsley-like [adj]
APIARIANS,APIARIANa member of the bee family [n]
APIARISTS,APIARISTa bee keeper [n]
APICULATE,of leaveshaving a short point at the tip [adj]
APIMANIAS,APIMANIAan excessive interest in bees [n]
APISHNESS,the quality of being like an ape [n -ES]
APIVOROUS,eating bees [adj]
APLANATIC,of a lensfree of spherical aberration [adj APLANATICALLY]
APLANETIC,of algal sporeslacking a motile stage [adj]
APLUSTRES,APLUSTRE(Latin) an ornamental appendage of wood at a ship's stern
APNEUSTIC,relating to apneusisprotracted gasping inhalations followed by short inhalations [adj]
APOCOPATE,to cut off the end of a word [v APOCOPATEDAPOCOPATING
APOCRYPHA,APOCRYPHONa hidden or secret thing [n]
APODICTIC,necessarily true; beyond contradictionalso APODEICTIC
APOENZYME,a protein component which combines with a coenzyme [n -S]
APOGAMIES,APOGAMYa form of plant reproduction [n]
APOGAMOUS,engaging in apogamyasexual reproduction [adj APOGAMOUSLY]
APOGRAPHS,APOGRAPHan exact copy [n]
APOLOGIAE,APOLOGIA(Latin) a written defence [n]
APOLOGIAS,APOLOGIA(Latin) a written defence [n]
APOLOGIES,APOLOGYan explanation with expression of regret [n]
APOLOGISE,to express regretalso APOLOGIZE [v APOLOGISED
APOLOGIST,a defender by argument [n -S]
APOLOGIZE,to express regretalso APOLOGISE [v APOLOGIZED
APOLOGUES,APOLOGUEa story presenting a moral principle
APOMICTIC,relating to apomixisnonsexual reproduction
APOPHASES,APOPHASISthe rhetorical device of emphasizing a fact
APOPHASIS,the rhetorical device of emphasizing a factby pretending to ignore or deny it [n APOPHASES]
APOPHATIC,emphasizing a factby pretending to ignore or deny it [adj]
APOPHENIA,the tendency to mistakenly perceive connections and meaning between unrelated things [n -S]
APOPHYGES,APOPHYGE(Greek) the curve where a column merges in its base or capital [n]
APOPHYSES,APOPHYSISan expanded or projecting part of an organism
APOPHYSIS,an expanded or projecting part of an organismesp. of bone [n APOPHYSES]
APOPLASTS,APOPLASTthe non-protoplasmic component of a plant
APOPLEXED,APOPLEXto affect with apoplexy [v]
APOPLEXES,APOPLEXto affect with apoplexy [v]
APOPTOSES,APOPTOSISthe natural self-destruction of cells in a growing organism [n]
APOPTOSIS,the natural self-destruction of cells in a growing organism [n APOPTOSES]
APOPTOTIC,relating to apoptosisthe natural destruction of cells in a growing organism [adj]
APOSITIAS,APOSITIA(Greek) an aversion to food [n]
APOSPORIC,relating to aposporythe development of prothalli [adj]
APOSTATES,APOSTATEone who commits apostasy [n]
APOSTATIC,of the nature of apostates or apostasyalso APOSTATICAL [adj]
APOSTILLE,(French) a marginal notealso APOSTIL [n -S]
APOSTOLIC,relating to the office of apostlealso APOSTOLICAL [adj APOSTOLICALLY]
APOTHECES,APOTHECEthe spore-producing organ of certain fungi [n]
APOTHECIA,APOTHECIUMthe spore-producing organ of certain fungi
APOTHEGMS,APOTHEGM(Greek) a short
APPAIRING,APPAIR(obsolete) to impair [v]
APPALLING,APPALLto horrify
APPALOOSA,a North American breed of horse [n -S]
APPANAGED,endowed with an appanagea provision for maintenance
APPANAGES,APPANAGEa provision for maintenance
APPARATUS,things prepared or provided [n -ES]
APPARELED,APPARELto dress [v]
APPARENCY,(archaic) apparentness [n APPARENCIES]
APPARENTS,APPARENT(Shakespeare) an heir-apparent [n]
APPARITOR,an officer in court who attends to execute ordersalso PARITOR [n -S]
APPEACHED,APPEACH(Shakespeare) to accuse
APPEACHES,APPEACH(Shakespeare) to accuse
APPEALERS,APPEALERone who appeals [n]
APPEALING,APPEALto make an earnest request [v]
APPEARERS,APPEARERone who appears [n]
APPEARING,APPEARto become visible [v]
APPEASERS,APPEASERone who appeases [n]
APPEASING,APPEASEto bring to a state of peace or contentment [v]
APPELLANT,a person who makes an appeal to a higher court or authority [n -S]
APPELLATE,relating to appeals; (of a tribunal) having the power to review cases on appeal [adj]
APPELLEES,APPELLEEthe defendant in a judicial proceeding [n]
APPELLORS,APPELLORin law
APPENDAGE,something appended [n -S]
APPENDANT,attachedannexed [adj] / an adjunct
APPENDENT,an adjunctan appendage
APPENDING,APPENDto add on to [v]
APPERILLS,APPERILL(Shakespeare) peril
APPERTAIN,to relate to [v -ED-ING
APPESTATS,APPESTATa neural centre in the hypothalamus believed to control (food) appetite [n]
APPETENCE,strong craving or powerful desirealso APPETENCY [n -S]
APPETENCY,strong craving or powerful desirealso APPETENCE [n APPETENCIES]
APPETIBLE,desirable [adj]
APPETISED,APPETISEto whet the appetite
APPETISER,something that whets the appetitealso APPETIZER [n -S]
APPETISES,APPETISEto whet the appetite
APPETITES,APPETITEa desire for food or drink [n]
APPETIZED,APPETIZEto whet the appetite
APPETIZER,something that whets the appetitealso APPETISER [n -S]
APPETIZES,APPETIZEto whet the appetite
APPLAUDED,APPLAUDto express approval by clapping the hands [v]
APPLAUDER,one who applauds [n -S]
APPLAUSES,APPLAUSEthe sound made by persons applauding [n]
APPLECART,apple brandydistilled from fermented apple juice
APPLEJACK,apple brandydistilled from fermented apple juice
APPLETINI,a cocktail made with vodka and apple juice [n -S]
APPLIABLE,that can be appliedalso APPLICABLE [adj]
APPLIANCE,an instrument or tool used for a particular purpose [n -S]
APPLICANT,one who applies [n -S]
APPLICATE,applied or put to some use [adj]
APPLIQUED,APPLIQUEto do applique work [v]
APPLIQUES,APPLIQUEto do applique work [v]
APPOINTED,APPOINTto assign to a job [v]
APPOINTEE,one who is appointed [n -S]
APPOINTER,one who appoints [n -S]
APPOINTOR,a person who is given (by the owner) the power to appoint property to other persons [n -S]
APPORTION,to portion out [v -ED-ING
APPOSABLE,that can be apposed [adj]
APPRAISAL,the act of appraising [n -S]
APPRAISED,APPRAISEto set a value on [v]
APPRAISEE,one who is appraised [n -S]
APPRAISER,one who appraises [n -S]
APPRAISES,APPRAISEto set a value on [v]
APPREHEND,to understand [v -ED-ING
APPRESSED,APPRESSto press together
APPRESSES,APPRESSto press together
APPRISERS,APPRISERone who informs
APPRISING,(archaic) the sheriff's sentence directing property to be apprised [n -S]
APPRIZERS,APPRIZERone who informs
APPRIZING,(archaic) the sheriff's sentence directing property to be apprized [n -S]
APPROBATE,to approve expressly or formally [v APPROBATEDAPPROBATING
APPROVALS,APPROVALthe act of approving [n]
APPROVERS,APPROVERone that approves [n]
APPROVING,APPROVEto regard favourably [v]
APPULSIVE,relating to an appulsethe close approach of a planet or asteroid to a star without the occurrence of an eclipse [adj APPULSIVELY]
APRICATED,APRICATEto expose to sunlight [v]
APRICATES,APRICATEto expose to sunlight [v]
APRICOCKS,APRICOCK(obsolete) an apricot
APRIORISM,an a priori principle [n -S]
APRIORIST,a person who believes in Kant's theory of a priori cognition [n -S]
APRIORITY,the quality of being innate in the mindor prior to experience [n APRIORITIES]
APRONFULS,APRONFULan amount carried in an upturned apron [n]
APRONLIKE,like an apron [adj]
APSARASES,APSARAS(Sanskrit) a divine water sprite [n]
APSIDIOLE,a subsidiary apsea rounded extension at the end of a building
APTERISMS,APTERISMa lack of wings [n]
APTERYXES,APTERYX(Greek) one of a genus of New Zealand birds that includes the kiwi [n]
APTITUDES,APTITUDEan ability [n]
APTNESSES,APTNESSthe quality of being apt [n]
APYREXIAS,APYREXIAa period of intermission in a fever [n]
AQUABATIC,relating to spectacular feats in water [adj]
AQUABOARD,a board for riding on the surface of water [n -S]
AQUACADES,AQUACADEan exhibition of swimming and diving skills [n]
AQUADROME,a centre with facilities for waterskiing [n -S]
AQUAFABAS,AQUAFABAwater in which pulses
AQUAFARMS,AQUAFARMto cultivate food fish [v]
AQUALUNGS,AQUALUNGdiving apparatus [n]
AQUANAUTS,AQUANAUTa skin-diver; someone who explores and/or lives in the sea at considerable depth [n]
AQUAPHOBE,one with a morbid fear of water [n -S]
AQUAPLANE,to skim across water [v AQUAPLANEDAQUAPLANING
AQUAPORIN,any of a group of proteins in a cell membrane that allow the passage of water across the membrane [n -S]
AQUARELLE,(French) a method of painting in transparent watercolour; such a painting [n -S]
AQUARIANS,AQUARIANa curator of an aquarium
AQUARIIST,(obsolete) a curator of an aquariumalso AQUARIST [n -S]
AQUARISTS,AQUARISTa curator of an aquarium
AQUARIUMS,AQUARIUM(Latin) a water filled museum for all forms of aquatic life [n]
AQUAROBIC,relating to a system of exercisessimilar to aerobics
AQUASCAPE,a scenic view of a body of water [n -S]
AQUASHOWS,AQUASHOWan exhibition of swimming and diving [n]
AQUATINTA,a print made by a method of etching having the effect of watercolour drawingalso AQUATINT [n -S]
AQUATINTS,AQUATINTto etch using a certain process having the effect of watercolour drawing [v]
AQUATONES,AQUATONEa type of printing process [n]
AQUEDUCTS,AQUEDUCTan artificial channel or pipe for conveying water
AQUEOUSLY,AQUEOUSpertaining to water [adv]
AQUILEGIA,a genus of plants including columbine [n -S]
ARABESQUE,a movement in dancing; a curvealso ARABESK [n -S]
ARABICISE,to make Arabicalso ARABICIZE [v ARABICISED
ARABICIZE,to make Arabic [v ARABICIZEDARABICIZING
ARABILITY,the ability to be ploughed [n ARABILITIES]
ARABINOSE,a pentose sugar which is a constituent of many plant gums [n -S]
ARABISING,ARABISEto adopt Arab customs
ARABIZING,ARABIZEto adopt Arab customs
ARACHISES,ARACHIS(Greek) a Brazilian plant genus that includes monkey-nut [n]
ARACHNIDS,ARACHNIDany member of the Arachnida
ARACHNOID,like a cobweb [adj] / the arachnoid membranea fine delicate membrane which is the middle of the three meninges enveloping the brain and spinal cord [n -S]
ARAGONITE,an orthorhombic mineral composed of calcium carbonatealso ARRAGONITE [n -S]
ARAHUANAS,ARAHUANAa large tropical fish
ARANEIDAN,related to araneidsspiders [adj]
ARAPAIMAS,ARAPAIMA(Tupi) a large freshwater food fish of South America
ARAPONGAS,ARAPONGA(Tupi) the campanero or South American bellbird
ARAPUNGAS,ARAPUNGA(Tupi) the campanero or S. American bellbird
ARAUCARIA,a tree of the monkey puzzle genus [n -S]
ARBALESTS,ARBALESTa type of crossbow
ARBALISTS,ARBALISTa type of crossbow
ARBELESTS,ARBELESTa type of crossbow
ARBITRAGE,the exploitation of market imperfections to make a profite.g. by buying stocks and shares in one country or market and selling them in another [n -S] / to exploit the market in this way [v ARBITRAGED
ARBITRARY,arising from accident rather than from rule [adj ARBITRARILY]
ARBITRATE,to judge as arbiter or arbitrator [v ARBITRATEDARBITRATING
ARBITRESS,a female arbitrator [n -ES]
ARBITRIUM,(Latin) a power of decision [n -S]
ARBLASTER,a crossbowmanalso ARBALESTER
ARBOREOUS,having many trees [adj]
ARBORETUM,(Latin) a collection of trees [n ARBORETA or ARBORETUMS]
ARBORISED,ARBORISEto form many branches
ARBORISES,ARBORISEto form many branches
ARBORISTS,ARBORISTa tree specialist [n]
ARBORIZED,ARBORIZEto form many branches
ARBORIZES,ARBORIZEto form many branches
ARBOVIRAL,relating to arbovirusa group of viruses spread by mosquitoes [adj]
ARBOVIRUS,any of a group of viruses spread by mosquitoes [n -ES]
ARBUSCLES,ARBUSCLEa dwarf or shrublike tree [n]
ARBUTUSES,ARBUTUS(Latin) an evergreen tree
ARCADIANS,ARCADIANone who lives in an arcadia [n]
ARCADINGS,ARCADINGshops in an arcade [n]
ARCANISTS,ARCANISTa person knowing secrets of manufacture [n]
ARCATURES,ARCATUREa small or blind arcade [n]
ARCCOSINE,a mathematical function [n -S]
ARCHAEANS,ARCHAEANany member of the archaea
ARCHAICAL,ancientalso ARCHAIC [adj ARCHAICALLY]
ARCHAISED,ARCHAISEto use idioms
ARCHAISER,one who archaisesalso ARCHAIZER [n -S]
ARCHAISES,ARCHAISEto use idioms
ARCHAISMS,ARCHAISMan expression or idiom [n]
ARCHAISTS,ARCHAISTan antiquary [n]
ARCHAIZED,ARCHAIZEto use idioms
ARCHAIZER,one who archaizesalso ARCHAISER [n -S]
ARCHAIZES,ARCHAIZEto use idioms
ARCHANGEL,a top-ranking angel [n -S]
ARCHDRUID,a chief or presiding druid [n -S]
ARCHDUCAL,of or pertaining to an archduke or archduchy [adj]
ARCHDUCHY,the territory of an archduke or archduchess [n ARCHDUCHIES]
